time,lat,lon,depth,cruise,abundance_prochloro,abundance_synecho,abundance_picoeuk,abundance_croco,diam_prochloro,diam_synecho,diam_picoeuk,diam_croco,Qc_prochloro,Qc_synecho,Qc_picoeuk,Qc_croco,biomass_prochloro,biomass_synecho,biomass_picoeuk,biomass_croco
2017-06-26T22:36:10+00:00,21.3314,-157.5893,5,KM1709,210.435784497747,1.66945233247968,0.322483721400242,0.009213820611435,0.504811927708978,0.962674179634076,0.703872578519462,5.15711365195743,0.025648078222362,0.135631063024172,0.06046677765681,10.3037471267114,5.39727346158231,0.226429594522402,0.019499551479849,0.094936877651113
2017-06-26T22:39:10+00:00,21.3411,-157.5908,5,KM1709,200.08292804016,1.35902570427751,0.313226414031707,0,0.490109777841354,0.932192002088674,0.72205508930143,NA,0.023765064904021,0.124826350203012,0.064681506443183,NA,4.75498377106101,0.169642218497039,0.020259956317367,0
2017-06-26T22:42:10+00:00,21.3511,-157.5922,5,KM1709,193.178363437147,1.3670013056314,0.451417044418793,0,0.477121453883895,0.968539238801219,0.738723361123607,NA,0.022174020233333,0.137773261365145,0.068496054217605,NA,4.2835409394974,0.188336228167249,0.030920286349261,0
2017-06-26T22:48:11+00:00,21.3708,-157.5952,5,KM1709,187.994866802997,1.2069626564107,0.331690173984266,0,0.475884533500792,0.982921993521116,0.794600513226053,NA,0.022026046104762,0.14311375261532,0.082768386439228,NA,4.14078360366131,0.172732955025492,0.027453460498425,0
2017-06-26T22:51:11+00:00,21.3811,-157.5972,5,KM1709,191.855888321629,1.29364710521862,0.396099699258527,0,0.480852241344051,1.00582968094667,0.698045632170792,NA,0.02262413939316,0.151878209589088,0.059183781231072,NA,4.34057436078703,0.196476806180711,0.02344267794661,0
2017-06-26T22:54:11+00:00,21.3911,-157.599,5,KM1709,194.63532557626,1.48430838767193,0.469852665625856,0.009212797365213,0.483777533666211,0.983424030353217,0.558532336778209,4.7688832675384,0.022980865169086,0.14330252022927,0.033294032793564,8.41982963298942,4.47288817420912,0.212705132750832,0.015643290057491,0.077570184258346
2017-06-26T22:57:11+00:00,21.4012,-157.6009,5,KM1709,190.558004031608,1.10035942663422,0.396203087382132,0,0.480437243287687,0.95348900370601,0.721711674255901,NA,0.022573703715093,0.132318589591512,0.064500078016158,NA,4.30159992354894,0.145598007375965,0.02555513004639,0
2017-06-26T23:00:12+00:00,21.4113,-157.6027,5,KM1709,186.933491025651,1.51289992080317,0.359313063545955,0,0.470161173232954,0.991489846513126,0.698045632170792,NA,0.021349071907149,0.146354495083556,0.059183781231072,NA,3.99085654176105,0.2214197040211,0.02126550574637,0
2017-06-26T23:18:13+00:00,21.4701,-157.6121,5,KM1709,181.64276249533,1.66141738310922,0.36856919894285,0,0.469756115196377,1.00738525464901,0.97210681183673,NA,0.021301586138311,0.152485535004803,0.139155272999361,NA,3.86927895169503,0.253342118529688,0.051288347498048,0
2017-06-26T23:21:13+00:00,21.48,-157.6136,5,KM1709,182.229868011116,1.04813232442534,0.294871735276686,0,0.468136019845135,0.981921804865267,0.730805086299848,NA,0.021112597528809,0.142739052788219,0.067020468585949,NA,3.84734586104661,0.149609415185187,0.019762441870995,0
2017-06-26T23:24:13+00:00,21.4896,-157.6153,5,KM1709,180.284938483445,1.06019306224416,0.644856427366217,0,0.466924922136537,0.987444722760617,0.646381079985191,NA,0.020971999860076,0.144818985087983,0.048533629100361,NA,3.78093570464854,0.15353608327152,0.031297222668776,0
2017-06-26T23:27:14+00:00,21.4998,-157.6167,5,KM1709,179.052514526044,1.03874569084518,0.405374338840282,0,0.468539864665891,0.907491045714637,0.980009446903838,NA,0.021159657195508,0.116472301945972,0.142530903136125,NA,3.78868982736479,0.120985101749197,0.057778370623115,0
2017-06-26T23:30:14+00:00,21.5099,-157.6183,5,KM1709,179.38651907657,0.976277605189407,0.387038498886654,0,0.469756115196377,0.965611091573475,0.654034594776792,NA,0.021301586138311,0.136705635636681,0.050098639931016,NA,3.8212173881613,0.133462650575275,0.019390102395163,0
2017-06-26T23:33:14+00:00,21.5198,-157.6199,5,KM1709,177.26367323293,0.864022654307809,0.626564158489421,0,0.466120855275069,0.972479077721648,0.720167442047045,NA,0.020878864191531,0.139223835225311,0.064183118833816,NA,3.70106415952234,0.120292547654286,0.040214841841336,0
2017-06-26T23:36:14+00:00,21.5297,-157.6215,5,KM1709,176.161446909776,0.781335244259795,0.350138794449971,0,0.463713882186332,0.942047926172891,0.762441567597726,NA,0.02060188336146,0.12825948699723,0.074704830403831,NA,3.62925758202114,0.100213657601617,0.026157059257187,0
2017-06-26T23:39:14+00:00,21.5397,-157.623,5,KM1709,171.873648355413,0.745881824868738,0.42384045563373,0,0.461718702290608,0.946313401573038,0.691744035774059,NA,0.020373995090551,0.129763500752627,0.057843813955592,NA,3.50175286778826,0.096788236742725,0.024516548462531,0
2017-06-26T23:42:15+00:00,21.5495,-157.6246,5,KM1709,172.012203034418,0.751671040214065,0.423833394411396,0,0.460129986183046,0.918812371286088,0.714784205779965,NA,0.02019359766578,0.120256238412411,0.063617739123681,NA,3.47354522168149,0.090393131819688,0.026963322317568,0
2017-06-26T23:45:15+00:00,21.5595,-157.6263,5,KM1709,177.107271541887,0.808118596194047,0.350208811706272,0,0.468944922417812,0.928474878322158,0.958401366876527,NA,0.021206858203964,0.123546164841018,0.134102983024212,NA,3.75588879447974,0.099839953296482,0.046964046331176,0
