Percent downwelling PAR penetration measured with a hyperspectral radiometer (Hyperpro). Data are in % of surface downwelling PAR and they were processed with the procedure described in Barone et al. (GBC, 20022).
First three rows are year, month, and day. The first six profiles are in the cyclone, and the last six are in the anticyclone.
First column is depth (m). 

52,8.33,9.72,11.59,11.84,12.07,12.06,11.12,9.1,11.34,11.49,10.93,9.72
53,7.61,8.96,11.31,11.5,11.52,11.39,10.72,8.7,10.83,10.46,9.36,9.98
54,7.79,8.22,11.09,10.65,11.55,10.98,10.47,8.5,9.76,10.33,9.5,9.43
55,7.66,8.57,9.87,10.24,10.92,10.52,10.03,8.16,10.12,10,9.13,8.99
56,7.4,7.69,10.19,10.18,10.52,10.26,10.13,8.04,9.46,9.53,9.82,8.43
57,6.84,7.72,9.9,9.06,10.22,10.01,9.54,7.78,9.05,9.17,8.23,8.47
58,6.88,6.93,9.37,9.25,9.95,9.85,9.53,7.64,8.96,9,8.25,7.84
59,6.5,6.59,8.85,8.79,8.93,9.31,9.15,7.51,8.07,8.56,7.92,7.79
60,6.24,6.44,8.41,8.52,8.93,9.13,8.85,7.15,8.22,8.47,7.25,7.38
61,5.98,6.4,8.64,8.19,8.84,8.95,8.64,6.71,7.64,7.75,6.77,6.92
62,5.57,5.38,7.96,7.89,8.31,8.06,8.53,6.73,7.38,7.74,6.79,6.94
63,5.17,5.1,7.57,7.3,8.17,8.14,8.22,6.5,7.2,7.13,6.16,6.49
64,5.19,5.08,7.47,7.28,7.37,7.46,8.01,6.22,6.63,6.94,6.02,6.46
65,4.96,4.84,6.78,7.02,7.87,7.66,7.82,5.96,6.61,6.9,5.73,6.15
66,4.73,4.68,7.02,6.66,6.76,7.21,7.24,5.71,5.99,6.39,5.64,6.04
67,4.55,4.26,6.42,6.68,7.02,7.04,7.03,5.28,6.05,6.39,5.48,5.85
68,4.35,4.06,6.43,6.07,6.45,6.54,6.45,5.05,5.69,6.03,5.44,5.49
69,4.15,3.74,5.96,6.14,6.36,6.45,6.18,4.86,5.53,5.66,5.16,5.45
70,4.02,3.91,5.75,5.67,6.17,6.08,6.21,4.65,5.19,5.48,4.93,5.11
71,3.83,4,5.55,5.42,5.81,6.04,5.85,4.39,5.13,5.45,5.01,4.86
72,3.61,3.73,5.17,5.21,5.62,5.67,5.62,4.24,4.79,5,4.5,4.77
73,3.33,3.62,5.1,5.01,5.38,5.25,5.41,4,4.71,4.84,4.34,4.56
74,3.27,3.39,4.74,4.75,5.14,5.23,5.14,3.83,4.35,4.73,4.4,4.33
75,3.1,3.23,4.67,4.59,4.96,4.97,4.86,3.68,4.23,4.46,4.07,4.16
76,2.86,3.06,4.17,4.24,4.69,4.73,4.6,3.53,4.1,4.31,3.93,4.22
77,2.85,2.74,4.24,4.23,4.61,4.59,4.5,3.39,3.93,4.18,3.74,3.69
78,2.75,2.51,3.94,3.96,4.5,4.51,4.26,3.2,3.79,4.01,3.52,3.43
79,2.33,2.23,3.84,3.72,3.98,4.17,4.19,3.09,3.65,3.7,3.45,3.39
80,2.26,2.02,3.74,3.59,3.99,4.05,3.98,2.98,3.44,3.62,3.18,3.32
81,2.21,2.07,3.43,3.46,3.78,3.85,3.74,2.93,3.21,3.44,3.16,3.15
82,2.12,2.1,3.28,3.2,3.52,3.7,3.52,2.77,3.24,3.3,2.93,3.24
83,2.04,2.13,3.23,3.12,3.43,3.4,3.28,2.68,3.02,3.2,2.84,2.99
84,1.96,2.03,3.02,2.86,3.32,3.32,3.11,2.6,3.02,3.05,2.73,2.91
85,1.94,2.03,2.81,2.81,3.22,3.21,2.94,2.53,2.75,3,2.59,2.73
86,1.77,1.92,2.75,2.6,2.96,3.04,2.71,2.48,2.69,2.79,2.47,2.63
87,1.68,1.74,2.57,2.56,2.85,2.82,2.65,2.41,2.54,2.68,2.39,2.55
88,1.65,1.71,2.43,2.42,2.68,2.85,2.47,2.37,2.33,2.67,2.33,2.37
89,1.53,1.6,2.37,2.23,2.53,2.62,2.4,2.26,2.24,2.4,2.21,2.3
90,1.47,1.55,2.21,2.17,2.48,2.49,2.26,2.22,2.22,2.41,2.09,2.14
91,1.37,1.47,2.06,2.06,2.32,2.33,2.17,2.13,2.08,2.3,2.11,2.05
92,1.31,1.39,2,1.85,2.21,2.33,2.1,2.02,2.01,2.16,1.93,1.93
93,1.26,1.33,1.85,1.79,2.1,2.1,2.04,1.95,1.99,2.09,1.84,1.99
94,1.15,1.24,1.71,1.67,1.91,1.96,1.98,1.84,1.8,1.95,1.8,1.81
95,1.08,1.16,1.72,1.67,1.85,1.99,1.89,1.76,1.77,1.9,1.71,1.76
96,1.01,1.12,1.6,1.5,1.78,1.78,1.82,1.66,1.71,1.8,1.63,1.75
97,0.92,1.02,1.49,1.45,1.71,1.76,1.73,1.57,1.65,1.75,1.59,1.62
98,0.86,0.97,1.44,1.37,1.63,1.67,1.69,1.52,1.58,1.68,1.51,1.56
99,0.83,0.92,1.34,1.24,1.53,1.53,1.61,1.44,1.5,1.51,1.48,1.5
100,0.8,0.9,1.26,1.19,1.47,1.5,1.57,1.38,1.45,1.46,1.38,1.46
101,0.72,0.84,1.16,1.12,1.34,1.39,1.52,1.35,1.39,1.41,1.31,1.37
102,0.67,0.77,1.11,1.02,1.31,1.29,1.42,1.34,1.31,1.31,1.28,1.31
103,0.62,0.72,1.03,0.97,1.25,1.25,1.36,1.29,1.25,1.27,1.21,1.28
104,0.59,0.68,0.96,0.89,1.15,1.2,1.29,1.24,1.21,1.21,1.16,1.18
105,0.53,0.64,0.9,0.83,1.1,1.12,1.19,1.21,1.15,1.14,1.08,1.09
106,0.49,0.58,0.83,0.79,1.04,1.03,1.14,1.19,1.11,1.09,1.05,1.09
107,0.47,0.54,0.78,0.75,0.95,1,1.08,1.15,1.04,1.05,0.97,1.03
108,0.45,0.5,0.74,0.71,0.9,0.91,1,1.11,1,0.98,0.89,0.97
109,0.43,0.49,0.69,0.66,0.83,0.85,0.97,1.07,0.95,0.92,0.87,0.91
110,0.39,0.48,0.64,0.61,0.78,0.79,0.94,1.05,0.89,0.89,0.85,0.87
111,0.34,0.44,0.61,0.59,0.76,0.76,0.88,0.97,0.86,0.83,0.79,0.8
112,0.33,0.38,0.58,0.55,0.7,0.72,0.82,0.88,0.83,0.78,0.76,0.77
113,0.31,0.36,0.56,0.52,0.65,0.67,0.77,0.82,0.77,0.74,0.74,0.75
114,0.29,0.34,0.51,0.48,0.63,0.64,0.74,0.78,0.75,0.72,0.73,0.7
115,0.28,0.32,0.48,0.47,0.62,0.63,0.69,0.67,0.74,0.68,0.67,0.65
116,0.28,0.31,0.46,0.44,0.55,0.58,0.63,0.6,0.7,0.63,0.63,0.63
117,0.27,0.3,0.44,0.41,0.53,0.53,0.6,0.54,0.64,0.6,0.61,0.61
118,0.23,0.29,0.4,0.37,0.51,0.5,0.58,0.5,0.62,0.58,0.59,0.54
119,0.22,0.26,0.37,0.35,0.48,0.48,0.57,0.48,0.59,0.55,0.54,0.52
120,0.2,0.24,0.35,0.34,0.44,0.45,0.51,0.46,0.56,0.5,0.51,0.51
121,0.19,0.22,0.33,0.34,0.41,0.42,0.47,0.44,0.52,0.49,0.48,0.49
122,0.18,0.21,0.32,0.32,0.39,0.39,0.44,0.4,0.5,0.47,0.47,0.46
123,0.17,0.2,0.31,0.29,0.37,0.37,0.42,0.37,0.47,0.45,0.43,0.43
124,0.17,0.19,0.3,0.28,0.36,0.36,0.4,0.35,0.46,0.42,0.4,0.41
125,0.16,0.19,0.27,0.26,0.35,0.35,0.39,0.33,0.42,0.39,0.39,0.39
126,0.14,0.18,0.26,0.25,0.32,0.33,0.38,0.31,0.39,0.37,0.37,0.38
127,0.13,0.16,0.25,0.24,0.3,0.31,0.35,0.31,0.37,0.36,0.35,0.37
128,0.13,0.15,0.24,0.24,0.29,0.29,0.31,0.3,0.35,0.35,0.34,0.34
129,0.12,0.14,0.23,0.23,0.27,0.27,0.29,0.28,0.34,0.34,0.34,0.32
130,0.12,0.13,0.22,0.22,0.26,0.26,0.27,0.26,0.33,0.32,0.32,0.31
131,0.12,0.13,0.22,0.2,0.26,0.25,0.26,0.24,0.32,0.29,0.29,0.3
132,0.11,0.12,0.2,0.19,0.25,0.24,0.25,0.23,0.29,0.28,0.28,0.29
133,0.1,0.12,0.19,0.18,0.24,0.24,0.25,0.22,0.27,0.27,0.27,0.28
134,0.1,0.11,0.18,0.17,0.22,0.23,0.24,0.21,0.26,0.25,0.26,0.28
135,0.09,0.1,0.17,0.17,0.21,0.21,0.22,0.2,0.25,0.25,0.26,0.27
136,0.09,0.09,0.16,0.16,0.2,0.2,0.21,0.19,0.24,0.24,0.25,0.25
137,0.08,0.09,0.16,0.16,0.19,0.19,0.2,0.17,0.24,0.24,0.24,0.24
138,0.08,0.08,0.16,0.15,0.18,0.18,0.2,0.16,0.23,0.22,0.22,0.23
139,0.08,0.08,0.15,0.13,0.18,0.17,0.19,0.16,0.22,0.21,0.21,0.22
140,0.08,0.07,0.14,0.13,0.17,0.17,0.19,0.15,0.2,0.2,0.21,0.21
141,0.07,0.07,0.13,0.12,0.16,0.16,0.18,0.14,0.19,0.19,0.2,0.21
142,0.07,0.06,0.12,0.12,0.15,0.15,0.17,0.14,0.18,0.18,0.19,0.2
143,0.06,0.06,0.12,0.12,0.14,0.14,0.16,0.14,0.17,0.18,0.19,0.19
144,0.06,0.06,0.12,0.11,0.14,0.14,0.15,0.13,0.17,0.17,0.18,0.18
145,0.06,0.06,0.11,0.11,0.13,0.13,0.15,0.12,0.16,0.16,0.17,0.17
146,0.06,0.06,0.11,0.1,0.13,0.12,0.14,0.12,0.16,0.15,0.17,0.17
147,0.06,0.06,0.1,0.1,0.13,0.12,0.14,0.12,0.15,0.14,0.16,0.16
148,0.05,0.06,0.1,0.09,0.12,0.12,0.13,0.12,0.14,0.14,0.15,0.16
149,0.05,0.06,0.09,0.09,0.11,0.11,0.12,0.12,0.13,0.13,0.15,0.15
150,0.05,0.06,0.09,0.08,0.11,0.11,0.11,0.11,0.12,0.13,0.15,0.15
151,0.04,0.05,0.09,0.08,0.1,0.1,0.11,0.11,0.12,0.13,0.15,0.14
152,0.04,0.05,0.08,0.08,0.1,0.1,0.1,0.11,0.12,0.12,0.14,0.13
153,0.04,0.05,0.08,0.08,0.1,0.09,0.1,0.1,0.12,0.11,0.13,0.13
154,0.04,0.04,0.08,0.07,0.09,0.09,0.09,0.1,0.11,0.11,0.13,0.12
155,0.04,0.04,0.07,0.07,0.09,0.09,0.09,0.1,0.1,0.1,0.12,0.12
156,0.04,0.04,0.07,0.07,0.08,0.09,0.09,0.09,0.1,0.1,0.12,0.12
157,0.03,0.04,0.07,0.06,0.08,0.08,0.08,0.09,0.1,0.1,0.11,0.11
158,0.03,0.04,0.07,0.06,0.08,0.08,0.07,0.09,0.09,0.09,0.11,0.11
159,0.03,0.04,0.06,0.06,0.07,0.07,0.07,0.08,0.09,0.09,0.11,0.1
160,0.03,0.04,0.06,0.06,0.07,0.07,0.07,0.08,0.09,0.09,0.1,0.1
161,0.03,0.03,0.06,0.06,0.07,0.07,0.07,0.08,0.09,0.08,0.1,0.1
162,0.03,0.03,0.06,0.05,0.07,0.07,0.07,0.07,0.08,0.08,0.09,0.09
163,0.03,0.03,0.06,0.05,0.06,0.07,0.06,0.07,0.08,0.08,0.09,0.09
164,0.03,0.03,0.05,0.05,0.06,0.06,0.06,0.07,0.08,0.07,0.09,0.09
165,0.02,0.03,0.05,0.05,0.06,0.06,0.06,0.07,0.07,0.07,0.09,0.09
166,0.02,0.03,0.05,NaN,0.06,0.06,0.06,0.06,0.07,0.07,0.08,0.08
167,0.02,0.03,0.05,NaN,0.05,0.05,0.05,0.06,0.07,0.07,0.08,0.08
168,0.02,0.03,0.05,NaN,0.05,0.05,0.05,0.06,0.07,0.06,0.08,0.07
169,0.02,0.03,0.05,NaN,0.05,0.05,0.05,0.06,0.07,0.06,0.07,0.07
170,0.02,0.02,0.04,NaN,0.05,0.05,0.05,0.05,0.06,0.06,0.07,0.07
171,0.02,0.02,0.04,NaN,0.05,0.05,0.05,0.05,0.06,0.06,0.07,0.07
172,0.02,0.02,0.04,NaN,0.04,0.05,0.05,0.05,0.06,0.06,0.07,0.07
173,0.02,0.02,0.04,NaN,0.04,0.04,0.04,0.05,0.06,0.05,0.07,0.07
174,0.02,0.02,0.04,NaN,0.04,0.04,0.04,0.05,0.05,0.05,0.07,0.06
175,0.02,0.02,0.04,NaN,0.04,0.04,0.04,0.05,0.05,0.05,0.06,0.06
176,0.02,0.02,0.04,NaN,0.04,0.04,0.04,0.04,0.05,0.05,0.06,0.06
177,0.02,0.02,0.03,NaN,0.04,0.04,0.04,0.04,0.05,0.05,0.06,0.06
178,0.02,0.02,0.03,NaN,0.04,0.04,0.04,0.04,0.05,0.04,0.06,0.05
179,0.02,NaN,NaN,NaN,0.03,NaN,0.04,NaN,0.05,NaN,NaN,NaN
180,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.04,NaN,NaN,NaN
181,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
182,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
183,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
184,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
185,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
186,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
187,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
189,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
190,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
191,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
192,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
193,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
194,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
195,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
196,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
197,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
198,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
199,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
203,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
204,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
205,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
206,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
207,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
208,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
209,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
210,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
