filename,timestamp,polarity
180821_Smp_MS12C1DCM_A.mzML,2018-08-23T11:01:22Z,neg
180821_Smp_MS12C1DCM_B.mzML,2018-08-28T22:44:07Z,neg
180821_Smp_MS12C1DCM_C.mzML,2018-08-28T20:12:35Z,neg
180821_Smp_MS13C2175m_A.mzML,2018-08-23T11:51:53Z,neg
180821_Smp_MS13C2175m_B.mzML,2018-08-24T07:35:45Z,neg
180821_Smp_MS13C2175m_C.mzML,2018-08-25T09:41:26Z,neg
180821_Smp_MS13C2DCM_A.mzML,2018-08-24T20:13:19Z,neg
180821_Smp_MS13C2DCM_B.mzML,2018-08-25T12:12:58Z,neg
180821_Smp_MS13C2DCM_C.mzML,2018-08-26T08:25:05Z,neg
180821_Smp_MS13C315m_A.mzML,2018-08-28T15:09:35Z,neg
180821_Smp_MS13C315m_B.mzML,2018-08-23T01:45:46Z,neg
180821_Smp_MS13C315m_C.mzML,2018-08-28T16:50:34Z,neg
180821_Smp_MS14C215m_A.mzML,2018-08-31T04:36:40Z,neg
180821_Smp_MS14C215m_B.mzML,2018-08-25T20:38:01Z,neg
180821_Smp_MS14C215m_C.mzML,2018-08-26T05:53:35Z,neg
180821_Smp_MS14C2175m_A.mzML,2018-08-26T03:22:03Z,neg
180821_Smp_MS14C2175m_B.mzML,2018-08-29T13:02:47Z,neg
180821_Smp_MS14C2175m_C.mzML,2018-08-23T16:04:24Z,neg
180821_Smp_MS14C2DCM_A.mzML,2018-08-23T03:26:48Z,neg
180821_Smp_MS14C2DCM_B.mzML,2018-08-30T09:14:56Z,neg
180821_Smp_MS14C2DCM_C.mzML,2018-08-25T17:15:58Z,neg
180821_Smp_MS4C115m_A.mzML,2018-08-22T14:49:11Z,neg
180821_Smp_MS4C115m_B.mzML,2018-08-29T17:15:18Z,neg
180821_Smp_MS4C115m_C.mzML,2018-08-31T10:30:08Z,neg
180821_Smp_MS4C1175m_A.mzML,2018-08-23T16:54:55Z,neg
180821_Smp_MS4C1175m_B.mzML,2018-08-24T16:00:46Z,neg
180821_Smp_MS4C1175m_C.mzML,2018-08-28T14:19:06Z,neg
180821_Smp_MS4C1DCM_A.mzML,2018-08-24T13:29:16Z,neg
180821_Smp_MS4C1DCM_B.mzML,2018-08-23T04:17:18Z,neg
180821_Smp_MS4C1DCM_C.mzML,2018-08-26T09:15:36Z,neg
180821_Smp_MS5C115m_A.mzML,2018-08-28T19:22:06Z,neg
