"station","cast","time","max_depth","bottles","lat","lon"
"28",1,2018-03-28 05:28:23,401.21,24,22.088,-156.343333333333
"29",1,2018-03-28 12:59:57,401.67,18,22.1021666666667,-156.34665
"30",1,2018-03-28 16:15:32,435.38,8,22.14,-156.336083333333
"31",1,2018-03-28 22:04:35,402.85,5,22.1562333333333,-156.34995
"32",1,2018-03-29 04:03:23,400.96,12,22.2089666666667,-156.351366666667
"33",1,2018-03-29 10:23:39,1939.6,24,22.2593333333333,-156.393166666667
"34",1,2018-03-29 16:21:48,400.37,20,22.2577333333333,-156.382383333333
"35",1,2018-03-29 22:00:03,401.07,15,22.3494666666667,-156.528433333333
"36",1,2018-03-30 01:01:25,401.86,23,22.3542833333333,-156.540433333333
"37",1,2018-03-30 04:04:11,401,16,22.3665166666667,-156.57045
"38",1,2018-03-30 07:04:20,154.34,6,22.3449666666667,-156.596516666667
"39",1,2018-03-30 10:19:53,157.34,8,22.3026166666667,-156.542616666667
"40",1,2018-03-30 12:17:00,401.19,24,22.3135,-156.682483333333
"41",1,2018-03-30 16:32:40,400.23,22,22.3533833333333,-156.542516666667
"42",1,2018-03-30 22:01:39,401.7,17,22.3722666666667,-156.7752
"43",1,2018-03-31 00:59:24,1000.38,23,22.3630666666667,-156.756766666667
"44",1,2018-03-31 21:52:25,432.66,20,22.34205,-156.90865
"45",1,2018-04-01 01:01:41,251.31,10,22.3357,-156.90415
"46",1,2018-04-01 04:01:23,401.75,23,22.3244666666667,-156.902433333333
"47",1,2018-04-01 07:05:50,172.7,8,22.32655,-156.95255
"48",1,2018-04-01 10:03:14,401.48,14,22.3080833333333,-156.949333333333
"49",1,2018-04-01 12:03:18,401.83,24,22.2958666666667,-156.950666666667
"50",1,2018-04-01 16:40:14,402.45,21,22.26335,-156.942283333333
"51",1,2018-04-01 21:58:55,402.17,12,22.2993666666667,-157.010883333333
"52",1,2018-04-02 01:02:06,401.99,10,22.2791666666667,-157.021833333333
"53",1,2018-04-02 07:40:50,401.03,17,22.2843333333333,-157.0325
"54",1,2018-04-02 10:03:33,153.35,10,22.2881666666667,-157.018366666667
"55",1,2018-04-02 12:06:35,402.23,24,22.26055,-157.06355
"56",1,2018-04-02 16:58:23,401.53,23,22.2015,-156.971933333333
"57",1,2018-04-02 19:59:52,152.98,12,22.3068333333333,-157.092833333333
"58",1,2018-04-02 21:56:51,401.38,6,22.2546666666667,-157.0855
"59",1,2018-04-03 01:14:56,400.5,20,22.3121666666667,-157.0883
"60",1,2018-04-03 04:09:38,401.42,16,22.1705,-156.984516666667
"61",1,2018-04-03 11:59:37,401.61,16,22.1679,-157.031616666667
"62",1,2018-04-03 15:32:50,402.23,24,22.1887833333333,-157.059333333333
"63",1,2018-04-03 22:14:14,405.47,8,22.2012166666667,-156.674833333333
"64",1,2018-04-04 03:50:59,401.61,24,22.13305,-157.074233333333
"65",1,2018-04-04 11:56:18,402.33,24,22.1036666666667,-157.041833333333
"66",1,2018-04-04 16:03:10,1002.08,24,22.096,-157.033216666667
"67",1,2018-04-04 21:58:27,400.53,24,22.1234666666667,-156.93815
"68",1,2018-04-05 00:13:37,198.57,12,22.0668,-156.972733333333
"69",1,2018-04-05 01:13:00,1004.32,24,22.0248333333333,-157.008216666667
"70",1,2018-04-05 14:00:45,26.61,24,22.0008333333333,-156.941166666667
"71",1,2018-04-05 22:27:57,401.96,24,22.3612833333333,-157.727333333333
"72",1,2018-04-06 04:02:18,400.45,24,22.8326833333333,-158.3699
"73",1,2018-04-06 15:57:37,400.87,24,23.7824,-159.55705
"74",1,2018-04-07 01:02:01,401.52,24,24.5117166666667,-160.5066
"75",1,2018-04-07 04:02:53,399.75,24,24.5125,-160.53625
"76",1,2018-04-07 12:03:50,401.09,24,24.6153833333333,-160.852483333333
"77",1,2018-04-07 15:57:24,401.46,24,24.5856333333333,-160.864733333333
"78",1,2018-04-07 21:59:09,401.25,23,24.5854,-160.867266666667
"79",1,2018-04-08 02:04:26,400.15,24,24.5703666666667,-160.865383333333
"80",1,2018-04-08 04:14:18,402.89,24,24.5821166666667,-160.882166666667
"81",1,2018-04-08 12:00:38,401.3,24,24.5396166666667,-160.769833333333
"82",1,2018-04-08 16:04:36,401.14,18,24.5324166666667,-160.770733333333
"83",1,2018-04-08 17:57:34,201.17,20,24.5337,-160.786216666667
"84",1,2018-04-08 21:58:19,400.59,24,24.5590666666667,-160.8443
"85",1,2018-04-09 01:02:36,1003.27,24,24.472,-160.800466666667
"86",1,2018-04-09 04:02:41,401.05,18,24.4468166666667,-160.762083333333
