"station","cast","time","max_depth","bottles","lat","lon"
"L2",6,2017-07-09 16:07:32,401.35,16,26.4846666666667,-158.486166666667
"L2",7,2017-07-09 17:53:56,701.1,8,26.4868333333333,-158.481333333333
"L2",8,2017-07-09 19:56:49,400.92,24,26.4966666666667,-158.486166666667
"L2",9,2017-07-09 22:29:34,16.08,24,26.4961666666667,-158.486833333333
"L2",10,2017-07-09 23:14:34,15.72,24,26.4956666666667,-158.486666666667
"L2",11,2017-07-09 23:51:26,401.16,24,26.4955,-158.486666666667
"L2",12,2017-07-10 03:57:48,400.99,19,26.4896666666667,-158.489
"L2",13,2017-07-10 08:26:30,400.74,24,26.477,-158.486166666667
"L2",14,2017-07-10 10:07:39,45.74,24,26.4763333333333,-158.489833333333
"L2",15,2017-07-10 12:03:55,401.16,23,26.4695,-158.4985
"L2",16,2017-07-10 13:22:14,200.6,23,26.4678333333333,-158.5115
"L2",17,2017-07-10 16:05:43,401.48,18,26.457,-158.514333333333
"L2",18,2017-07-10 19:53:59,400.33,19,26.464,-158.542
"L2",19,2017-07-11 00:00:26,400.82,24,26.4736666666667,-158.5455
"L2",20,2017-07-11 04:07:52,700.77,24,26.4848333333333,-158.536
"L2",21,2017-07-11 08:19:41,401.55,24,26.4936666666667,-158.535333333333
"L2",22,2017-07-11 09:46:01,126.11,24,26.4923333333333,-158.535666666667
"L2",23,2017-07-11 10:49:28,200.99,24,26.4928333333333,-158.535666666667
"L2",24,2017-07-11 12:24:07,400.82,16,26.4923333333333,-158.535666666667
"L2",25,2017-07-11 16:04:54,400,18,26.4798333333333,-158.564833333333
"L2",26,2017-07-11 19:59:19,400.86,24,26.4925,-158.6015
"L2",27,2017-07-11 23:56:55,400.6,24,26.5221666666667,-158.607166666667
"L2",28,2017-07-12 01:09:08,200.82,24,26.5228333333333,-158.606666666667
"L2",29,2017-07-12 03:55:38,400.53,19,26.5381666666667,-158.588833333333
"L2",30,2017-07-12 07:59:36,400.91,16,26.551,-158.568333333333
"L2",31,2017-07-12 12:24:04,400.84,18,26.5533333333333,-158.565
"L2",32,2017-07-12 13:41:58,46.05,24,26.553,-158.565
