station,cast,time,max_depth,bottles,lat,lon
L2,12,2017-07-10T10:57:48Z,400.99,19,26.48966666666667,-158.489
L2,13,2017-07-10T15:26:30Z,400.74,24,26.477,-158.48616666666666
L2,14,2017-07-10T17:07:39Z,45.74,24,26.476333333333333,-158.48983333333334
L2,15,2017-07-10T19:03:55Z,401.16,23,26.4695,-158.4985
L2,16,2017-07-10T20:22:14Z,200.6,23,26.467833333333335,-158.5115
L2,17,2017-07-10T23:05:43Z,401.48,18,26.457,-158.51433333333333
L2,18,2017-07-11T02:53:59Z,400.33,19,26.464,-158.542
L2,19,2017-07-11T07:00:26Z,400.82,24,26.473666666666666,-158.5455
L2,20,2017-07-11T11:07:52Z,700.77,24,26.484833333333334,-158.536
L2,21,2017-07-11T15:19:41Z,401.55,24,26.493666666666666,-158.53533333333334
L2,22,2017-07-11T16:46:01Z,126.11,24,26.492333333333335,-158.53566666666666
L2,23,2017-07-11T17:49:28Z,200.99,24,26.492833333333333,-158.53566666666666
L2,24,2017-07-11T19:24:07Z,400.82,16,26.492333333333335,-158.53566666666666
L2,25,2017-07-11T23:04:54Z,400,18,26.479833333333332,-158.56483333333333
L2,26,2017-07-12T02:59:19Z,400.86,24,26.4925,-158.6015
L2,27,2017-07-12T06:56:55Z,400.6,24,26.522166666666667,-158.60716666666667
L2,28,2017-07-12T08:09:08Z,200.82,24,26.522833333333335,-158.60666666666665
L2,29,2017-07-12T10:55:38Z,400.53,19,26.538166666666665,-158.58883333333333
L2,30,2017-07-12T14:59:36Z,400.91,16,26.551,-158.56833333333333
L2,31,2017-07-12T19:24:04Z,400.84,18,26.553333333333335,-158.565
L2,32,2017-07-12T20:41:58Z,46.05,24,26.553,-158.565
28,1,2018-03-28T12:28:23Z,401.21,24,22.088,-156.34333333333333
29,1,2018-03-28T19:59:57Z,401.67,18,22.102166666666665,-156.34665
30,1,2018-03-28T23:15:32Z,435.38,8,22.14,-156.33608333333333
31,1,2018-03-29T05:04:35Z,402.85,5,22.156233333333333,-156.34995
32,1,2018-03-29T11:03:23Z,400.96,12,22.208966666666665,-156.35136666666668
33,1,2018-03-29T17:23:39Z,1939.6,24,22.259333333333334,-156.39316666666667
34,1,2018-03-29T23:21:48Z,400.37,20,22.257733333333334,-156.38238333333334
35,1,2018-03-30T05:00:03Z,401.07,15,22.349466666666668,-156.52843333333334
36,1,2018-03-30T08:01:25Z,401.86,23,22.354283333333335,-156.54043333333334
37,1,2018-03-30T11:04:11Z,401,16,22.366516666666666,-156.57045
38,1,2018-03-30T14:04:20Z,154.34,6,22.344966666666668,-156.59651666666667
39,1,2018-03-30T17:19:53Z,157.34,8,22.302616666666665,-156.54261666666667
40,1,2018-03-30T19:17:00Z,401.19,24,22.3135,-156.68248333333332
41,1,2018-03-30T23:32:40Z,400.23,22,22.353383333333333,-156.54251666666667
42,1,2018-03-31T05:01:39Z,401.7,17,22.37226666666667,-156.7752
43,1,2018-03-31T07:59:24Z,1000.38,23,22.36306666666667,-156.75676666666666
44,1,2018-04-01T04:52:25Z,432.66,20,22.34205,-156.90865
45,1,2018-04-01T08:01:41Z,251.31,10,22.3357,-156.90415
46,1,2018-04-01T11:01:23Z,401.75,23,22.324466666666666,-156.90243333333333
47,1,2018-04-01T14:05:50Z,172.7,8,22.32655,-156.95255
48,1,2018-04-01T17:03:14Z,401.48,14,22.308083333333332,-156.94933333333333
49,1,2018-04-01T19:03:18Z,401.83,24,22.295866666666665,-156.95066666666668
50,1,2018-04-01T23:40:14Z,402.45,21,22.26335,-156.94228333333334
51,1,2018-04-02T04:58:55Z,402.17,12,22.299366666666668,-157.01088333333334
52,1,2018-04-02T08:02:06Z,401.99,10,22.279166666666665,-157.02183333333332
53,1,2018-04-02T14:40:50Z,401.03,17,22.284333333333333,-157.0325
54,1,2018-04-02T17:03:33Z,153.35,10,22.288166666666665,-157.01836666666668
55,1,2018-04-02T19:06:35Z,402.23,24,22.26055,-157.06355
56,1,2018-04-02T23:58:23Z,401.53,23,22.2015,-156.97193333333334
57,1,2018-04-03T02:59:52Z,152.98,12,22.306833333333334,-157.09283333333335
58,1,2018-04-03T04:56:51Z,401.38,6,22.254666666666665,-157.0855
59,1,2018-04-03T08:14:56Z,400.5,20,22.312166666666666,-157.0883
60,1,2018-04-03T11:09:38Z,401.42,16,22.1705,-156.98451666666668
61,1,2018-04-03T18:59:37Z,401.61,16,22.1679,-157.03161666666668
62,1,2018-04-03T22:32:50Z,402.23,24,22.188783333333333,-157.05933333333334
63,1,2018-04-04T05:14:14Z,405.47,8,22.201216666666667,-156.67483333333334
64,1,2018-04-04T10:50:59Z,401.61,24,22.13305,-157.07423333333332
65,1,2018-04-04T18:56:18Z,402.33,24,22.103666666666665,-157.04183333333333
66,1,2018-04-04T23:03:10Z,1002.08,24,22.096,-157.03321666666668
67,1,2018-04-05T04:58:27Z,400.53,24,22.123466666666666,-156.93815
68,1,2018-04-05T07:13:37Z,198.57,12,22.0668,-156.97273333333334
69,1,2018-04-05T08:13:00Z,1004.32,24,22.024833333333333,-157.00821666666667
70,1,2018-04-05T21:00:45Z,26.61,24,22.000833333333333,-156.94116666666667
71,1,2018-04-06T05:27:57Z,401.96,24,22.361283333333333,-157.72733333333332
72,1,2018-04-06T11:02:18Z,400.45,24,22.832683333333332,-158.3699
73,1,2018-04-06T22:57:37Z,400.87,24,23.7824,-159.55705
74,1,2018-04-07T08:02:01Z,401.52,24,24.51171666666667,-160.5066
75,1,2018-04-07T11:02:53Z,399.75,24,24.5125,-160.53625
76,1,2018-04-07T19:03:50Z,401.09,24,24.615383333333334,-160.85248333333334
77,1,2018-04-07T22:57:24Z,401.46,24,24.585633333333334,-160.86473333333333
78,1,2018-04-08T04:59:09Z,401.25,23,24.5854,-160.86726666666667
79,1,2018-04-08T09:04:26Z,400.15,24,24.570366666666665,-160.86538333333334
80,1,2018-04-08T11:14:18Z,402.89,24,24.582116666666668,-160.88216666666668
81,1,2018-04-08T19:00:38Z,401.3,24,24.539616666666667,-160.76983333333334
82,1,2018-04-08T23:04:36Z,401.14,18,24.532416666666666,-160.77073333333334
83,1,2018-04-09T00:57:34Z,201.17,20,24.5337,-160.78621666666666
84,1,2018-04-09T04:58:19Z,400.59,24,24.559066666666666,-160.8443
85,1,2018-04-09T08:02:36Z,1003.27,24,24.472,-160.80046666666667
86,1,2018-04-09T11:02:41Z,401.05,18,24.446816666666667,-160.76208333333332
