feature,mzmed,rtmed,compound_name,structure,class,cruise,polarity
FT0519,131.07041855019372,2.113275019327799,NA,NA,NA,FK,pos
FT0527,132.10204508400426,5.121253458658854,L-Leucine/beta-Alaninebetaine,NA,NA,FK,pos
FT0531,133.03187478150795,6.27566401163737,NA,NA,NA,FK,pos
FT0532,133.0801426104876,9.485355631510416,NA,NA,NA,FK,pos
FT0533,133.105379922751,7.945291137695311,NA,NA,NA,FK,pos
FT0538,136.05083851530856,8.229720052083334,NA,NA,NA,FK,pos
FT0550,137.04327989001695,8.230699666341145,NA,NA,NA,FK,pos
FT0552,137.04586727899542,5.948610941569011,Hypoxanthine,NA,NA,FK,pos
FT0554,137.05886322645006,3.799449539184571,NA,NA,NA,FK,pos
FT0555,137.06318759269828,9.383694458007811,NA,NA,NA,FK,pos
FT0557,137.06511692115416,3.7982089996337898,NA,NA,NA,FK,pos
FT0558,137.06513882019289,3.0380476633707683,NA,NA,NA,FK,pos
FT0559,137.0651143850871,2.3899621327718097,NA,NA,NA,FK,pos
FT0562,137.9838874824399,19.685804239908855,NA,NA,NA,FK,pos
FT0564,138.04914468009002,4.871315002441406,NA,NA,NA,FK,pos
FT0578,139.05837865631025,4.3369191487630205,NA,NA,NA,FK,pos
FT0579,139.05835168500377,6.3285762,NA,NA,NA,FK,pos
FT0580,139.05922628564727,3.837743631998698,NA,NA,NA,FK,pos
FT0600,140.0376001801198,7.4590087890625,N-Methyltaurine,NA,NA,FK,pos
FT0601,140.0376528981883,11.153392537434897,NA,NA,NA,FK,pos
FT0602,140.05354251339827,7.0331776936848955,NA,NA,NA,FK,pos
FT0604,141.00648863073917,9.623996988932292,NA,NA,NA,FK,pos
FT0620,141.06594764623895,5.730123901367188,NA,NA,NA,FK,pos
FT0626,143.003711673316,9.648535664876302,NA,NA,NA,FK,pos
FT0640,143.08155015324914,4.265502548217773,NA,NA,NA,FK,pos
FT0644,143.08159760080144,6.543831888834635,NA,NA,NA,FK,pos
FT0645,143.08160263153547,7.009664916992189,NA,NA,NA,FK,pos
FT0646,143.08156806586348,7.600599924723307,Ectoine,NA,NA,FK,pos
FT0647,144.07869391035206,7.919480387369791,NA,NA,NA,FK,pos
FT0649,144.1019745586704,5.018524678548177,Proline betaine,NA,NA,FK,pos
FT0653,144.1019718579114,7.706624857584635,NA,NA,NA,FK,pos
FT0683,145.08559845312982,7.982787322998047,NA,NA,NA,FK,pos
FT0690,146.06004509983472,2.1021525700887045,NA,NA,NA,FK,pos
FT0691,146.08117080462523,3.070068868001302,NA,NA,NA,FK,pos
FT0698,146.980373186829,2.985259755452474,NA,NA,NA,FK,pos
FT0718,147.04747214451052,6.955941263834635,NA,NA,NA,FK,pos
FT0719,147.0764556705356,9.992466735839844,L-Glutamine,NA,NA,FK,pos
FT0722,147.12084848234372,8.297807057698568,NA,NA,NA,FK,pos
FT0723,147.12090210093322,6.792440287272135,NA,NA,NA,FK,pos
FT0727,148.06047862594215,10.88721720377604,L-Glutamic acid/O-Acetyl-L-serine/beta-Glutamic acid,NA,NA,FK,pos
FT0729,148.09686054664255,6.837554677327475,Hydroxyisoleucine,NA,NA,FK,pos
FT0732,148.0968130311531,2.113275019327799,NA,NA,NA,FK,pos
FT0734,148.10590469679005,8.905008951822916,NA,NA,NA,FK,pos
FT0737,148.10584724723128,8.250349426269532,NA,NA,NA,FK,pos
FT0740,150.0583528334014,6.27566401163737,L-Methionine,NA,NA,FK,pos
FT0744,150.07742406623044,4.980593872070313,N6-Methyladenine,NA,NA,FK,pos
FT0746,150.112522921189,3.216535186767578,NA,NA,NA,FK,pos
FT0750,151.0807025328084,2.9624476114908855,NA,NA,NA,FK,pos
FT0751,151.09653889917192,2.261619059244792,NA,NA,NA,FK,pos
FT0754,152.05683400362514,8.205359903971354,Guanine,NA,NA,FK,pos
FT0761,152.07067840893757,7.645750935872396,NA,NA,NA,FK,pos
FT0763,152.07065024982433,5.4117991129557295,NA,NA,NA,FK,pos
FT0765,152.14751490849704,5.227884928385417,NA,NA,NA,FK,pos
FT0768,153.06006630129295,6.7346750895182295,NA,NA,NA,FK,pos
FT0769,153.07387272107732,3.1810279846191407,NA,NA,NA,FK,pos
FT0776,153.07722215938418,5.984631093343099,"L-Methionine, 2H3",NA,NA,FK,pos
FT0779,154.05326531274244,4.346571858723959,NA,NA,NA,FK,pos
FT0782,155.0541378861928,6.734181213378906,"Guanine, 13C, 15N2",NA,NA,FK,pos
FT0785,156.0768091292951,9.571608479817709,L-Histidine,NA,NA,FK,pos
FT0786,156.0848977051416,7.338872273763021,NA,NA,NA,FK,pos
FT0790,157.07390273213588,9.662835693359376,"DL-Histidine, 15N",NA,NA,FK,pos
FT0794,157.09723023850302,5.852352905273437,NA,NA,NA,FK,pos
FT0795,157.09722762425216,5.227884928385417,NA,NA,NA,FK,pos
FT0821,158.08121301926633,6.809013366699219,NA,NA,NA,FK,pos
FT0823,159.01710062336954,9.60387471516927,NA,NA,NA,FK,pos
FT0824,159.02780533878328,4.885523986816406,NA,NA,NA,FK,pos
FT0825,159.0764799177555,10.759698994954428,NA,NA,NA,FK,pos
FT0826,159.07646119671043,8.712959798177083,NA,NA,NA,FK,pos
FT0827,159.07645315093424,10.174286397298175,NA,NA,NA,FK,pos
FT0828,159.0764157349939,9.57286173502604,5-Hydroxyectoine,NA,NA,FK,pos
FT0830,160.0969157039488,8.022954813639323,NA,NA,NA,FK,pos
FT0831,160.096920454376,6.197325134277344,Betonicine/Turicine,NA,NA,FK,pos
FT0832,160.09688244381556,5.39501953125,NA,NA,NA,FK,pos
FT0835,160.0969117545239,4.0135951995849615,NA,NA,NA,FK,pos
FT0838,160.13327944705443,7.196553548177083,NA,NA,NA,FK,pos
FT0840,160.1333234988943,8.28984120686849,NA,NA,NA,FK,pos
FT0841,161.10012476793503,7.002295430501302,NA,NA,NA,FK,pos
FT0842,162.0760953414634,9.051955159505209,NA,NA,NA,FK,pos
FT0843,162.11255341790863,5.275800323486328,Carnitine,NA,NA,FK,pos
FT0849,163.11579568888914,6.739831797281901,NA,NA,NA,FK,pos
FT0850,163.11577713558972,8.200259399414062,NA,NA,NA,FK,pos
FT0857,165.0581402283683,6.939016469319662,NA,NA,NA,FK,pos
FT0878,166.0532315862891,8.768198140462239,L-Methionine S-oxide,NA,NA,FK,pos
FT0885,166.08632702005906,7.887883504231771,Ethyl aminobenzoate?,NA,NA,FK,pos
FT0887,166.08631629988096,4.528486633300782,NA,NA,NA,FK,pos
FT0888,166.08634822569374,6.9700795491536445,NA,NA,NA,FK,pos
