"station","chl_ug","phaeo_ug","cast","rosette","cruise"
"L1",0.2239,0.4576,14,9,"MC"
"L1",0.2353,0.4771,14,10,"MC"
"L1",0.2336,0.4598,14,11,"MC"
"L1",0.1606,0.1671,14,12,"MC"
"L1",0.1639,0.1781,14,13,"MC"
"L1",0.1558,0.1601,14,14,"MC"
"L1",0.0965,0.1065,14,15,"MC"
"L1",0.1012,0.1115,14,16,"MC"
"L1",0.0962,0.0907,14,17,"MC"
"L1",0.0646,0.0546,14,18,"MC"
"L1",0.0712,0.0589,14,19,"MC"
"L1",0.0649,0.0541,14,20,"MC"
"L1",0.066,0.0534,14,21,"MC"
"L1",0.0738,0.077,14,22,"MC"
"L1",0.0694,0.064,14,23,"MC"
"L1",0.2807,0.5884,15,1,"MC"
"L1",0.0761,0.0761,15,8,"MC"
"L1",0.2877,0.6015,16,1,"MC"
"L1",0.0686,0.0623,16,9,"MC"
"L1",0.2672,0.6763,17,1,"MC"
"L1",0.061,0.0605,17,9,"MC"
"L1",0.2645,0.4859,18,6,"MC"
"L1",0.0686,0.0173,18,15,"MC"
"L1",0.0222,0.0447,21,1,"MC"
"L1",0.0584,0.1791,21,2,"MC"
"L1",0.2028,0.5262,21,3,"MC"
"L1",0.2028,0.5143,21,4,"MC"
"L1",0.1947,0.5272,21,5,"MC"
"L1",0.2515,0.5417,21,6,"MC"
"L1",0.2563,0.5083,21,7,"MC"
"L1",0.2435,0.5161,21,8,"MC"
"L1",0.1996,0.3822,21,9,"MC"
"L1",0.2174,0.3976,21,10,"MC"
"L1",0.2077,0.424,21,11,"MC"
"L1",0.1363,0.1724,21,12,"MC"
"L1",0.1428,0.1469,21,13,"MC"
"L1",0.1428,0.1469,21,14,"MC"
"L1",0.0779,0.0694,21,15,"MC"
"L1",0.0837,0.0716,21,16,"MC"
"L1",0.0763,0.0662,21,17,"MC"
"L1",0.0569,0.0637,21,18,"MC"
"L1",0.0597,0.054,21,19,"MC"
"L1",0.0581,0.0573,21,20,"MC"
"L1",0.0516,0.0489,21,21,"MC"
"L1",0.0565,0.0528,21,22,"MC"
"L1",0.0511,0.0441,21,23,"MC"
"L1",0.2419,0.5905,22,1,"MC"
"L1",0.0542,0.0678,22,9,"MC"
"L1",0.2482,0.473,23,6,"MC"
"L1",0.0558,0.0566,23,16,"MC"
"L1",0.2656,0.5594,25,6,"MC"
"L1",0.0613,0.0631,25,16,"MC"
"L1",0.2766,0.6125,26,1,"MC"
"L1",0.0615,0.0657,26,9,"MC"
"L1",0.2735,0.5589,28,1,"MC"
"L1",0.0552,0.0592,28,9,"MC"
"L1",0.2703,0.5818,29,1,"MC"
"L1",0.0515,0.0455,29,11,"MC"
"L1",0.2672,0.5726,30,1,"MC"
"L1",0.0585,0.0635,30,9,"MC"
"L1",0.1028,0.3221,33,1,"MC"
"L1",0.117,0.3869,33,2,"MC"
"L1",0.1296,0.4459,33,3,"MC"
"L1",0.166,0.5108,33,4,"MC"
"L1",0.215,0.5408,33,5,"MC"
"L1",0.2482,0.6039,33,9,"MC"
"L1",0.283,0.6284,33,10,"MC"
"L1",0.2988,0.6003,33,14,"MC"
"L1",0.2419,0.4275,33,15,"MC"
"L1",0.1929,0.3135,33,19,"MC"
"L1",0.177,0.2206,33,20,"MC"
"L1",0.1676,0.193,33,21,"MC"
"L1",0.1628,0.1681,33,22,"MC"
"L1",0.1439,0.1525,33,23,"MC"
"L1",0.1265,0.1279,33,24,"MC"
"L2",0.0446,0.1286,2,1,"MC"
"L2",0.0534,0.1422,2,2,"MC"
"L2",0.0964,0.2345,2,3,"MC"
"L2",0.1154,0.2847,2,4,"MC"
"L2",0.147,0.3494,2,5,"MC"
"L2",0.1723,0.3859,2,9,"MC"
"L2",0.1818,0.4703,2,10,"MC"
"L2",0.1865,0.4532,2,14,"MC"
"L2",0.2008,0.5896,2,15,"MC"
"L2",0.2371,0.6496,2,19,"MC"
"L2",0.2134,0.6017,2,20,"MC"
"L2",0.1739,0.6461,2,21,"MC"
"L2",0.2324,0.4592,2,22,"MC"
"L2",0.2387,0.3294,2,23,"MC"
"L2",0.2229,0.2859,2,24,"MC"
"L2",0.0367,0.1029,5,1,"MC"
"L2",0.1233,0.2818,5,2,"MC"
"L2",0.2213,0.6357,5,3,"MC"
"L2",0.2276,0.6319,5,4,"MC"
"L2",0.2071,0.645,5,5,"MC"
"L2",0.2197,0.6966,5,6,"MC"
"L2",0.2118,0.6625,5,7,"MC"
"L2",0.2087,0.6113,5,8,"MC"
"L2",0.1913,0.2434,5,9,"MC"
"L2",0.1976,0.2544,5,10,"MC"
"L2",0.1976,0.2297,5,11,"MC"
"L2",0.1175,0.1214,5,12,"MC"
"L2",0.1222,0.1241,5,13,"MC"
"L2",0.1201,0.1293,5,14,"MC"
"L2",0.0713,0.0742,5,15,"MC"
"L2",0.0775,0.0732,5,16,"MC"
"L2",0.0726,0.0784,5,17,"MC"
"L2",0.0469,0.0632,5,18,"MC"
"L2",0.0537,0.0438,5,19,"MC"
"L2",0.0526,0.0528,5,20,"MC"
"L2",0.0531,0.0499,5,21,"MC"
"L2",0.0496,0.0457,5,22,"MC"
"L2",0.0481,0.0423,5,23,"MC"
"L2",0.2245,0.6375,6,1,"MC"
"L2",0.0571,0.0558,6,10,"MC"
"L2",0.215,0.7532,8,6,"MC"
"L2",0.0653,0.0698,8,16,"MC"
"L2",0.2292,0.7093,11,1,"MC"
"L2",0.059,0.0532,11,8,"MC"
"L2",0.221,0.6245,12,1,"MC"
"L2",0.0514,0.0403,12,10,"MC"
"L2",0.2048,0.6313,13,7,"MC"
"L2",0.0486,0.0376,13,18,"MC"
"L2",0.1869,0.5663,15,7,"MC"
"L2",0.0463,0.0401,15,15,"MC"
"L2",0.0354,0.0955,16,1,"MC"
"L2",0.0845,0.2092,16,2,"MC"
"L2",0.1723,0.5122,16,3,"MC"
"L2",0.1837,0.5364,16,4,"MC"
"L2",0.1755,0.5421,16,5,"MC"
"L2",0.208,0.5925,16,6,"MC"
"L2",0.221,0.5677,16,7,"MC"
"L2",0.1967,0.5518,16,8,"MC"
"L2",0.1674,0.1808,16,9,"MC"
"L2",0.1674,0.1855,16,10,"MC"
"L2",0.1609,0.1754,16,11,"MC"
"L2",0.1097,0.0999,16,12,"MC"
"L2",0.1139,0.1014,16,13,"MC"
"L2",0.1126,0.1022,16,14,"MC"
"L2",0.0738,0.0603,16,15,"MC"
"L2",0.0696,0.0707,16,16,"MC"
"L2",0.071,0.0597,16,17,"MC"
"L2",0.0603,0.0468,16,18,"MC"
"L2",0.0616,0.0426,16,19,"MC"
"L2",0.0603,0.0458,16,20,"MC"
"L2",0.0559,0.0445,16,21,"MC"
"L2",0.059,0.0414,16,22,"MC"
"L2",0.0546,0.0387,16,23,"MC"
"L2",0.221,0.6269,17,1,"MC"
"L2",0.0647,0.0466,17,10,"MC"
"L2",0.2227,0.6868,18,1,"MC"
"L2",0.064,0.0442,18,9,"MC"
"L2",0.2259,0.6315,19,1,"MC"
