"cruise","station","cast","rosette","pressure"
"FK","42",1,16,4.7
"FK","42",1,15,5.1
"FK","42",1,14,15.1
"FK","42",1,13,14.9
"FK","42",1,12,15.1
"FK","42",1,11,14
"FK","42",1,10,15.1
"FK","42",1,9,50.7
"FK","42",1,8,74.8
"FK","42",1,7,75.4
"FK","42",1,6,100.6
"FK","42",1,5,100.4
"FK","42",1,4,103.9
"FK","42",1,3,103.2
"FK","42",1,2,103.8
"FK","42",1,1,250.5
"FK","43",1,23,5.6
"FK","43",1,22,5.3
"FK","43",1,21,5.4
"FK","43",1,20,25.2
"FK","43",1,19,45.2
"FK","43",1,18,75.5
"FK","43",1,17,75.2
"FK","43",1,16,75.2
"FK","43",1,15,101.4
"FK","43",1,14,100.3
"FK","43",1,13,100.7
"FK","43",1,12,104.2
"FK","43",1,11,104.2
"FK","43",1,10,124.7
"FK","43",1,9,149.9
"FK","43",1,8,174.9
"FK","43",1,7,199.9
"FK","43",1,6,300.2
"FK","43",1,5,400.2
"FK","43",1,4,500.4
"FK","43",1,3,599.8
"FK","43",1,2,699.6
"FK","43",1,1,769.1
"FK","44",1,20,5.3
"FK","44",1,19,5.5
"FK","44",1,18,5.5
"FK","44",1,17,5.8
"FK","44",1,16,15.3
"FK","44",1,15,14.5
"FK","44",1,14,15.1
"FK","44",1,13,24.7
"FK","44",1,12,24.9
"FK","44",1,11,49.9
"FK","44",1,10,75.5
"FK","44",1,9,74.3
"FK","44",1,8,100
"FK","44",1,7,99
"FK","44",1,6,105.9
"FK","44",1,5,106.1
"FK","44",1,4,105.9
"FK","44",1,3,106.3
"FK","44",1,2,125.7
"FK","44",1,1,250.4
"FK","45",1,10,5
"FK","45",1,9,5.4
"FK","45",1,8,5.3
"FK","45",1,7,5.1
"FK","45",1,6,75.1
"FK","45",1,5,75.1
"FK","45",1,4,99.5
"FK","45",1,3,100.1
"FK","45",1,2,111.6
"FK","45",1,1,113.5
"FK","46",1,23,5.1
"FK","46",1,22,5.5
"FK","46",1,21,5
"FK","46",1,20,5.1
"FK","46",1,19,15.3
"FK","46",1,18,15.1
"FK","46",1,17,15.1
"FK","46",1,16,15.6
"FK","46",1,15,15.3
"FK","46",1,14,25.4
"FK","46",1,13,25.9
"FK","46",1,12,50.5
"FK","46",1,11,74.8
"FK","46",1,10,75.1
"FK","46",1,9,100.3
"FK","46",1,8,100
"FK","46",1,7,112.2
"FK","46",1,6,112.8
"FK","46",1,5,112.6
"FK","46",1,4,112.5
"FK","46",1,3,125.3
"FK","46",1,2,154.5
"FK","46",1,1,248.5
"FK","47",1,8,5.2
"FK","47",1,7,5.8
"FK","47",1,6,75.4
"FK","47",1,5,75.2
"FK","47",1,4,75.5
"FK","47",1,3,75.1
"FK","47",1,2,100.1
"FK","47",1,1,99.8
"FK","48",1,14,5.5
"FK","48",1,13,5.9
"FK","48",1,12,25.2
"FK","48",1,11,25
"FK","48",1,10,24.4
"FK","48",1,9,26.1
"FK","48",1,8,24.8
"FK","48",1,7,25.3
"FK","48",1,6,74.8
"FK","48",1,5,74
"FK","48",1,4,100.4
"FK","48",1,3,99.8
"FK","48",1,2,115.7
"FK","48",1,1,116.7
"FK","49",1,24,5.2
"FK","49",1,23,5.7
"FK","49",1,22,25.8
"FK","49",1,21,24.8
"FK","49",1,20,25
"FK","49",1,19,24.6
"FK","49",1,18,24.1
"FK","49",1,17,24.7
"FK","49",1,16,24.8
"FK","49",1,15,45.3
"FK","49",1,14,44.3
"FK","49",1,13,75.5
"FK","49",1,12,75.9
"FK","49",1,11,100
"FK","49",1,10,99.9
"FK","49",1,9,123.9
"FK","49",1,8,125.9
"FK","49",1,7,125.8
"FK","49",1,6,126.1
"FK","49",1,5,126.1
"FK","49",1,4,149.5
"FK","49",1,3,149.9
"FK","49",1,2,201.3
"FK","49",1,1,200.8
"FK","50",1,21,6.3
"FK","50",1,20,7
"FK","50",1,19,6.3
"FK","50",1,18,5.4
"FK","50",1,17,16
"FK","50",1,16,16.1
"FK","50",1,15,15.4
"FK","50",1,14,26.1
"FK","50",1,13,26.1
"FK","50",1,12,49.6
"FK","50",1,11,75.2
"FK","50",1,10,74.7
"FK","50",1,9,100.8
"FK","50",1,8,100.8
"FK","50",1,7,110.2
"FK","50",1,6,110.6
"FK","50",1,5,111
