"cruise","station","cast","rosette","pressure","temp","sal","theta","dic","alk","ph","oxy_um","het_abund","pro_abund","syn_abund","euk_abund"
"FK","33",1,4,150.8,18.397,34.842,18.371,NA,NA,NA,NA,NA,NA,NA,NA
"FK","33",1,3,175.6,17.031,34.682,17.002,NA,NA,NA,NA,NA,NA,NA,NA
"FK","33",1,2,200.8,15.774,34.532,15.743,NA,NA,NA,NA,NA,NA,NA,NA
"FK","33",1,1,225,14.332,34.377,14.299,NA,NA,NA,NA,NA,NA,NA,NA
"FK","34",1,20,5.5,23.596,35.138,23.595,NA,NA,NA,NA,NA,NA,NA,NA
"FK","34",1,19,5.3,23.596,35.138,23.595,NA,NA,NA,NA,NA,NA,NA,NA
"FK","34",1,18,5.5,23.596,35.138,23.595,NA,NA,NA,NA,NA,NA,NA,NA
"FK","34",1,17,5.7,23.596,35.138,23.595,NA,NA,NA,NA,NA,NA,NA,NA
"FK","34",1,16,5.7,23.596,35.138,23.595,NA,NA,NA,NA,NA,NA,NA,NA
"FK","34",1,15,15.9,23.371,35.12,23.368,NA,NA,NA,NA,NA,NA,NA,NA
"FK","34",1,14,15.1,23.398,35.122,23.395,NA,NA,NA,NA,NA,NA,NA,NA
"FK","34",1,13,15.8,23.372,35.12,23.369,NA,NA,NA,NA,NA,NA,NA,NA
"FK","34",1,12,15.8,23.374,35.12,23.371,NA,NA,NA,NA,NA,NA,NA,NA
"FK","34",1,11,25.7,22.879,35.131,22.874,NA,NA,NA,NA,NA,NA,NA,NA
"FK","34",1,10,25.1,22.878,35.131,22.873,NA,NA,NA,NA,NA,NA,NA,NA
"FK","34",1,9,49.8,22.743,35.149,22.733,NA,NA,NA,NA,NA,NA,NA,NA
"FK","34",1,8,76,22.646,35.165,22.631,NA,NA,NA,NA,NA,NA,NA,NA
"FK","34",1,7,75.1,22.655,35.165,22.64,NA,NA,NA,NA,NA,NA,NA,NA
"FK","34",1,6,100.2,21.802,35.181,21.782,NA,NA,NA,NA,NA,NA,NA,NA
"FK","34",1,5,100.2,21.803,35.181,21.783,NA,NA,NA,NA,NA,NA,NA,NA
"FK","34",1,4,120.8,21.149,35.18,21.126,NA,NA,NA,NA,NA,NA,NA,NA
"FK","34",1,3,120.5,21.154,35.18,21.131,NA,NA,NA,NA,NA,NA,NA,NA
"FK","34",1,2,125.7,20.958,35.17,20.934,NA,NA,NA,NA,NA,NA,NA,NA
"FK","34",1,1,250.8,13.095,34.266,13.061,NA,NA,NA,NA,NA,NA,NA,NA
"FK","35",1,15,5.2,23.399,35.144,23.398,NA,NA,NA,NA,NA,NA,NA,NA
"FK","35",1,14,5.4,23.388,35.143,23.387,NA,NA,NA,NA,NA,NA,NA,NA
"FK","35",1,13,15.6,22.873,35.125,22.87,NA,NA,NA,NA,NA,NA,NA,NA
"FK","35",1,12,15.1,22.887,35.123,22.884,NA,NA,NA,NA,NA,NA,NA,NA
"FK","35",1,11,15.3,22.881,35.124,22.878,NA,NA,NA,NA,NA,NA,NA,NA
"FK","35",1,10,25,22.717,35.152,22.712,NA,NA,NA,NA,NA,NA,NA,NA
"FK","35",1,9,50.2,22.65,35.155,22.64,NA,NA,NA,NA,NA,NA,NA,NA
"FK","35",1,8,74.7,22.326,35.197,22.311,NA,NA,NA,NA,NA,NA,NA,NA
"FK","35",1,7,75,22.32,35.198,22.305,NA,NA,NA,NA,NA,NA,NA,NA
"FK","35",1,6,99.6,20.949,35.152,20.93,NA,NA,NA,NA,NA,NA,NA,NA
"FK","35",1,5,99.9,20.946,35.152,20.927,NA,NA,NA,NA,NA,NA,NA,NA
"FK","35",1,4,99.8,20.947,35.152,20.928,NA,NA,NA,NA,NA,NA,NA,NA
"FK","35",1,3,99.8,20.947,35.152,20.928,NA,NA,NA,NA,NA,NA,NA,NA
"FK","35",1,2,99.5,20.95,35.152,20.931,NA,NA,NA,NA,NA,NA,NA,NA
"FK","35",1,1,249.7,13.383,34.288,13.348,NA,NA,NA,NA,NA,NA,NA,NA
"FK","36",1,23,4.9,24.184,35.158,24.183,NA,NA,NA,NA,NA,NA,NA,NA
"FK","36",1,22,5.2,24.061,35.157,24.06,NA,NA,NA,NA,NA,NA,NA,NA
"FK","36",1,21,5,24.168,35.158,24.167,NA,NA,NA,215.8,NA,NA,NA,NA
"FK","36",1,20,4.5,24.185,35.158,24.184,NA,NA,NA,NA,NA,NA,NA,NA
