"filename","timestamp"
"180821_Smp_MS14C215m_A.mzML",2018-08-30 21:36:40
"180821_Smp_MS14C215m_B.mzML",2018-08-25 13:38:01
"180821_Smp_MS14C215m_C.mzML",2018-08-25 22:53:35
"180821_Smp_MS14C2175m_A.mzML",2018-08-25 20:22:03
"180821_Smp_MS14C2175m_B.mzML",2018-08-29 06:02:47
"180821_Smp_MS14C2175m_C.mzML",2018-08-23 09:04:24
"180821_Smp_MS14C2DCM_A.mzML",2018-08-22 20:26:48
"180821_Smp_MS14C2DCM_B.mzML",2018-08-30 02:14:56
"180821_Smp_MS14C2DCM_C.mzML",2018-08-25 10:15:58
"180821_Smp_MS4C115m_A.mzML",2018-08-22 07:49:11
"180821_Smp_MS4C115m_B.mzML",2018-08-29 10:15:18
"180821_Smp_MS4C115m_C.mzML",2018-08-31 03:30:08
"180821_Smp_MS4C1175m_A.mzML",2018-08-23 09:54:55
"180821_Smp_MS4C1175m_B.mzML",2018-08-24 09:00:46
"180821_Smp_MS4C1175m_C.mzML",2018-08-28 07:19:06
"180821_Smp_MS4C1DCM_A.mzML",2018-08-24 06:29:16
"180821_Smp_MS4C1DCM_B.mzML",2018-08-22 21:17:18
"180821_Smp_MS4C1DCM_C.mzML",2018-08-26 02:15:36
"180821_Smp_MS5C115m_A.mzML",2018-08-28 12:22:06
"180821_Smp_MS5C115m_B.mzML",2018-08-23 17:01:15
"180821_Smp_MS5C115m_C.mzML",2018-08-25 03:31:55
"180821_Smp_MS5C1175m_A.mzML",2018-08-23 10:45:26
"180821_Smp_MS5C1175m_B.mzML",2018-08-25 06:03:27
"180821_Smp_MS5C1175m_C.mzML",2018-08-31 06:01:38
"180821_Smp_MS5C1DCM_A.mzML",2018-08-28 03:06:33
"180821_Smp_MS5C1DCM_B.mzML",2018-08-22 08:39:42
"180821_Smp_MS5C1DCM_C.mzML",2018-08-30 03:55:59
"180821_Smp_MS6C315m_A.mzML",2018-08-24 14:03:50
"180821_Smp_MS6C315m_B.mzML",2018-08-25 17:50:31
"180821_Smp_MS6C315m_C.mzML",2018-08-25 07:44:28
"180821_Smp_MS6C3175m_A.mzML",2018-08-31 04:20:39
"180821_Smp_MS6C3175m_B.mzML",2018-08-29 08:34:17
"180821_Smp_MS6C3175m_C.mzML",2018-08-22 10:20:41
"180821_Smp_MS6C3DCM_A.mzML",2018-08-24 03:57:46
"180821_Smp_MS6C3DCM_B.mzML",2018-08-23 17:51:41
"180821_Smp_MS6C3DCM_C.mzML",2018-08-28 04:47:32
"180821_Smp_MS7C115m_A.mzML",2018-08-25 23:44:04
"180821_Smp_MS7C115m_B.mzML",2018-08-22 11:11:14
"180821_Smp_MS7C115m_C.mzML",2018-08-25 12:47:31
"180821_Smp_MS7C1175m_A.mzML",2018-08-25 01:00:25
"180821_Smp_MS7C1175m_B.mzML",2018-08-23 19:32:41
"180821_Smp_MS7C1175m_C.mzML",2018-08-24 05:38:49
"180821_Smp_MS7C1DCM_A.mzML",2018-08-25 21:12:33
"180821_Smp_MS7C1DCM_B.mzML",2018-08-25 00:09:58
"180821_Smp_MS7C1DCM_C.mzML",2018-08-28 10:41:05
"180821_Smp_MS8C115m_A.mzML",2018-08-25 11:06:29
"180821_Smp_MS8C115m_B.mzML",2018-08-23 20:23:11
"180821_Smp_MS8C115m_C.mzML",2018-08-30 08:58:59
"180821_Smp_MS8C1175m_A.mzML",2018-08-29 23:43:25
"180821_Smp_MS8C1175m_B.mzML",2018-08-29 00:59:45
"180821_Smp_MS8C1175m_C.mzML",2018-08-30 01:24:25
"180821_Smp_MS8C1DCM_A.mzML",2018-08-31 08:33:10
"180821_Smp_MS8C1DCM_B.mzML",2018-08-30 04:46:28
"180821_Smp_MS8C1DCM_C.mzML",2018-08-22 12:52:15
"180821_Smp_MS9C215m_A.mzML",2018-08-25 18:41:03
"180821_Smp_MS9C215m_B.mzML",2018-08-31 06:52:09
"180821_Smp_MS9C215m_C.mzML",2018-08-24 01:26:13
"180821_Smp_MS9C2175m_A.mzML",2018-08-30 09:49:28
"180821_Smp_MS9C2175m_B.mzML",2018-08-24 08:10:17
"180821_Smp_MS9C2175m_C.mzML",2018-08-22 13:42:44
"180821_Smp_MS9C2DCM_A.mzML",2018-08-30 07:17:58
"180821_Smp_MS9C2DCM_B.mzML",2018-08-23 22:04:17
"180821_Smp_MS9C2DCM_C.mzML",2018-08-30 06:27:29
"180821_Std_4uMStdsMix1InH2O_1.mzML",2018-08-21 21:43:07
"180821_Std_4uMStdsMix1InH2O_2.mzML",2018-08-27 23:44:32
"180821_Std_4uMStdsMix1InH2O_3.mzML",2018-08-31 12:45:42
"180821_Std_4uMStdsMix1InMatrix_1.mzML",2018-08-21 23:24:10
"180821_Std_4uMStdsMix1InMatrix_2.mzML",2018-08-27 21:13:00
"180821_Std_4uMStdsMix1InMatrix_3.mzML",2018-08-31 11:04:41
"180821_Std_4uMStdsMix2InH2O_1.mzML",2018-08-21 22:33:38
"180821_Std_4uMStdsMix2InH2O_2.mzML",2018-08-28 00:35:01
"180821_Std_4uMStdsMix2InH2O_3.mzML",2018-08-31 13:36:13
"180821_Std_4uMStdsMix2InMatrix_1.mzML",2018-08-22 00:14:39
"180821_Std_4uMStdsMix2InMatrix_2.mzML",2018-08-27 22:03:33
"180821_Std_4uMStdsMix2InMatrix_3.mzML",2018-08-31 11:55:13
"180821_Std_H2OInMatrix_1.mzML",2018-08-22 02:46:09
"180821_Std_H2OInMatrix_2.mzML",2018-08-27 20:22:29
"180821_Std_H2OInMatrix_3.mzML",2018-08-31 10:14:12
"190715_Blk_KM1906U14-Blk_C.mzML",2019-07-14 08:25:46
"190715_Poo_TruePooFK180310_Full1.mzML",2019-07-18 17:33:17
"190715_Poo_TruePooFK180310_Full2.mzML",2019-07-19 12:04:26
"190715_Poo_TruePooFK180310_Full3.mzML",2019-07-20 08:29:25
"190715_Poo_TruePooFK180310_Half1.mzML",2019-07-18 16:42:48
"190715_Poo_TruePooFK180310_Half2.mzML",2019-07-19 11:13:53
"190715_Poo_TruePooFK180310_Half3.mzML",2019-07-20 07:38:51
"190715_Smp_FK180310S62C1-25m_A.mzML",2019-07-19 07:51:53
"190715_Smp_FK180310S62C1-25m_B.mzML",2019-07-20 04:16:50
"190715_Smp_FK180310S62C1-25m_C.mzML",2019-07-18 20:04:47
"190715_Smp_FK180310S62C1-DCM_A.mzML",2019-07-19 02:48:50
"190715_Smp_FK180310S62C1-DCM_B.mzML",2019-07-19 00:17:18
"190715_Smp_FK180310S62C1-DCM_C.mzML",2019-07-20 00:04:18
"190715_Smp_FK180310S64C1-25m_A.mzML",2019-07-20 01:45:20
