"cruise","station","cast","rosette","abs_depth","no23_um","po4_um","DON_um","DOP_um","si_um"
"MT","4",2,24,5,0.0021974856015289,0.0264986978504275,4.79420229472553,0.198935094748431,2.66587977396596
"MT","4",2,23,15,0.00153550145265733,0.0364509270201325,4.67582033995004,0.188705995908408,1.74071753244573
"MT","4",2,19,45,0.00149897771649952,0.0314088700401698,NA,NA,1.86456157418408
"MT","4",2,16,75,0.00172824056018971,0.0504148107093438,NA,NA,2.72377628597648
"MT","4",2,14,100,0.00355150849990372,0.0729295722814105,4.28253623791268,0.136703617027413,3.89906906464607
"MT","4",2,13,105,0.0115578067502882,0.0854546761289341,4.27512244663975,0.154632217695762,2.82615944409778
"MT","4",2,11,125,1.89363826472763,0.221974851053694,4.01656554754423,0.113375861078983,3.85915447791647
"MT","4",2,10,150,4.23409530241738,0.350673886633997,3.69372502768172,0.090580159724532,4.7273222694422
"MT","4",2,9,175,5.27379200036829,0.423639323084463,3.56897223150338,0.0893471075629622,5.62737783291174
"MT","4",2,6,200,6.42709977570621,0.506913220905432,3.47964000595559,0.0538002079512441,6.75514238562784
"MT","4",2,5,250,9.31393818465484,0.69813849503269,3.46439086247616,NA,9.27796827501038
"MT","4",2,2,500,26.1019696459462,1.86779337995449,3.02283217401504,NA,39.2261201164298
"MT","4",3,10,15,NA,0.0192901065334309,NA,NA,NA
"MT","4",3,5,118,NA,0.11298490969581,NA,NA,NA
"MT","5",2,24,5,0.00211424915055975,0.0422842927414173,4.78288383200779,0.206875092808642,1.51064653934597
"MT","5",2,23,15,0.00218121354284355,0.0583742371483002,4.76023203220146,0.199937033702361,1.53864660176383
"MT","5",2,20,45,0.00164323258354107,0.0442422746269963,4.9025729909111,0.182695125277172,1.6095718700029
"MT","5",2,17,75,0.00156682967562071,0.065,4.8126002258735,0.175855685337744,1.68006541921791
"MT","5",2,16,100,0.00193838102892817,0.0907081204957496,4.59289936491159,0.161476635261383,1.93928185609515
"MT","5",2,15,116,0.0101310838015458,0.074288571403328,4.50827326204648,0.166906812777527,1.99583704824752
"MT","5",2,12,125,0.917799649594709,0.174757217931501,4.27896953992214,0.127484025449486,2.61170232465229
"MT","5",2,9,150,1.34919560381156,0.195227521198701,4.28410614778871,0.0963144713427311,2.4797160805631
"MT","5",2,8,175,1.84809281303455,0.220765423956364,4.06555772623657,0.10766371467246,3.57175513197619
"MT","5",2,5,200,2.50449938941699,0.258841165794351,3.80731297617404,NA,3.62539424103862
"MT","5",2,4,250,5.56567551861862,0.448006773943935,3.83878871362822,NA,6.15246731205312
"MT","5",2,1,500,23.1227197387178,1.68183496597014,3.07064572883918,NA,31.3696835336355
"MT","6",1,24,5,0.00528186695331922,0.043033474358156,4.86703210208804,0.204053903936122,NA
"MT","6",1,23,15,0.0055545448041404,0.0412900843228331,4.80650891169717,0.202603746821137,1.83521700204527
"MT","6",1,13,45,0.00324628292371658,0.0339349710220827,4.88589298643192,0.19458017727944,2.33053099829497
"MT","6",1,12,75,0.0045718712113377,0.0438429343585784,4.91073815001698,0.191033951522723,1.34349760252141
"MT","6",1,11,100,0.00234098278956293,0.0680209485873203,4.69193020682307,0.163713333912417,1.71528135675227
"MT","6",1,10,125,0.0030952877011266,0.089,4.63688071706779,0.169513544738161,1.82950187569032
"MT","6",1,8,125,0.00324503551891869,0.082,4.51964027792017,0.153617060235851,1.85269135469719
"MT","6",1,7,150,0.0556578321524945,0.0813914450707056,4.73752127566973,0.148536998984288,1.95161668535412
